head	relation	tail
Xs are a type of fruit that grow on trees. They are often red, green, or yellow, and they have a sweet taste.	Is	apple
A X is a long, curved fruit that is yellow when ripe. It is sweet and has a thick skin.	Is	banana
X is a helping or supportive action. It can be used as a verb, meaning to help, or as a noun, meaning help or support.	Is	assist
X is a condition where the skin turns red due to inflammation or other factors.	Is	red skin
X is a type of computer made by Apple.	Is	macintosh
A: An apple is a fruit that is round, and is usually sweet and can be in different colors of red, green, and yellow.	Is	round fruit
A worm is a small, thin, segmented creature that lives in the soil.	Is	worms
Pears are a fruit that is shaped more like a teardrop and is usually yellow, green, or brown in color. They are also sweet in taste.	Is	apples and pears
Apple is a multinational corporation that designs, manufactures, and sells consumer electronics, computer software, and online services.	Is	new
A X is a plant or part of a plant that is eaten as food, such as a carrot, bean, or broccoli.	Is	vegetable
A X is someone who is a medical professional who diagnose and treat patients for various medical conditions.	Is	doctor
X is a type of fruit that is used to make cider, a alcoholic beverage.	Is	cider fruit
X is the name of the first man in the Bible. He was created by God and was the first person to live on Earth.	Is	adam
X is the past tense of the verb "to eat."	Is	ate
A tree is a tall plant with a trunk, branches, and leaves.	Is	trees
A X apple is a type of apple that is deep red in color and has a sweet taste.	Is	red delicious
X is the most populous city in the United States. It is located in the southeastern United States.	Is	new york city
A X is a company or group of people authorized to act as a single entity (legally a person) and recognized as such in law. Early incorporated entities were established by charter (i.e. by an act passed by a legislature or parliament). Most jurisdictions now allow the creation of new Xs through registration.	Is	corporation
X are the reproductive units of flowering plants. They are enclosed in a seed coat, and contain a embryo, which will grow into a new plant.	Is	seeds
The X of an apple is the hard, white, inner part of the fruit that contains the seeds.	Is	core
X is a colorblindness. It is the inability to see certain colors, or to see colors differently than other people.	Is	red green
A X is a piece of data or information that is stored in a database.	Is	record
X is a small, round fruit with a smooth, hard skin. It is dark red, and has a sour taste.	Is	adams fruit
X is a computer operating system created by Apple.	Is	mac
A X is a fruit that grows on a tree. The most common Xs are apples, oranges, lemons, and limes.	Is	tree fruit
X is anything that can be eaten by an organism to provide nutrition.	Is	food
A X is an electronic device that accepts input from a user, processes that input according to predefined rules, and produces output as a result.	Is	computer
A X is a round object that is used in various games. It is usually made of leather or rubber and is inflated with air.	Is	ball
Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, computer software, and online services.	Is	company
X is a common last name in the United States.	Is	smith
A X is a fruit that grows on a tropical tree. It is also called a "jambu" or "water apple." The fruit is round and has a thin, red skin. The flesh is white or pink and has a sweet, slightly acidic flavor.	Is	rose apple
A X is a fruit that is shaped like a tear and is usually green, yellow, or brown.	Is	pear
An orange is a citrus fruit, which is typically orange in color. It is acidic and tangy in taste, and is a good source of Vitamin C.	Is	oranges
X is a genus of about 30–35 species of small deciduous trees or shrubs in the family Rosaceae, including the domesticated orchard apple – X pumila.	Is	malus
A pip is a small, hard seed found in fruits.	Is	pips
A X apple is a type of apple that is green in color.	Is	granny smith
X is a herbaceous plant with large, green leaves that grow in a rosette pattern. The leaves are used in cooking, and the X has a long, thick stem.	Is	plantain
X is a set of principles that guide government decision-making. It includes goals, values, and strategies that an organization or individual uses to shape X.	Is	public policy
A X is a plant that has been created or selected through cultivation.	Is	cultivar
X is the process of reducing a data structure to a "single value" by applying a function to each element in the structure.	Is	catamorphism
X is a traditional Ugandan dish made from green bananas. The bananas are boiled and then mashed, and usually served with a peanut sauce.	Is	matoke
X is a website where people can self-publish and sell books, eBooks, and other printed materials.	Is	lulu
X is a distilled alcoholic drink made from the root of the plant Millettia Laurentii. It is popular in Uganda, where it is often mixed with fruit juices.	Is	waragi
A X is a type of punctuation mark, which is used to enclose a set of characters or words.	Is	banana bracket
X is a type of fabric made from the fibers of the abaca plant. It is often used in millinery and hatmaking.	Is	sinamay
The X is the principle that states that it is better to have a smaller, more manageable problem that you can solve, rather than a larger problem that you can only partially solve. This principle is often used in business, when deciding whether to take on a new project or not.	Is	banana principle
A banana is a long, curved fruit that is yellow when ripe. It has a thick skin and a soft, sweet flesh.	Is	banane
X is a yellow fruit that is often eaten as a snack. It is long and thin, and has a soft, sweet flesh.	Is	bananier
A X is a fruit that is not in its natural shape. It can be bent, squished, or have an odd shape.	Is	bent fruit
An apple is a fruit that is Xen as a food.	Is	eat
A X is a species of banana. It is native to southeastern Asia, specifically India and Malaysia. The plant is tall and has large leaves. The fruit is long and thin, and can be either yellow or green when ripe.	Is	musa acuminata
X is a type of plant that is used to make rope and other materials.	Is	abaca
A monkey is a mammal of the primate family. there are about 260 known living species of monkey.Monkeys are intelligent and can use simple tools.they are social animals and live in troops. some species of monkey live in trees, others live on the ground	Is	monkeys eat
A X is a large drupe with a hard, fibrous shell that encases a white, fleshy edible interior.	Is	coconut
A monkey is a mammal with long arms and legs, a tail, and usually fur. They are found in tropical areas of Asia, Africa, and Central and South America.	Is	monkeys
X is the color of light with a wavelength between 570 and 590 nanometers. It is seen between green and orange on the visible spectrum.	Is	yellow
X is a genus of flowering plants in the family Xceae. They are native to tropical Africa, and are the source of bananas and plantains.	Is	musa
X is a genus of flowering plants in the banana family.	Is	ensete
X are long, curved fruits that are yellow when ripe. They are sweet and have a thick skin.	Is	bananas
X is a brand of cookies that are sandwich cookies with a filling in the middle. The cookies are usually chocolate with a white filling, but there are also other flavors such as mint or Golden Xs.	Is	oreo
A X is a fruit that is yellow in color.	Is	yellow fruit
